epoch,validator_id,pos_score,poi_score,final_score,participation,missed_blocks,inference_success,inference_failure,slashes,rewards
1,0,1328,2047,1575,1,0,1,0,0,0
1,1,1486,1496,1450,1,0,1,0,0,0
1,2,1156,1511,1258,1,0,1,0,0,0
1,3,996,1494,1155,1,0,1,0,0,0
1,4,1695,1697,1535,1,0,1,0,0,1
1,5,1867,1458,1663,1,0,1,0,0,0
1,6,1709,2089,1821,1,0,1,0,0,0
1,7,1381,1660,1452,1,0,1,0,0,0
1,8,1201,1710,1364,1,0,1,0,0,0
1,9,1470,2024,1651,1,0,1,0,0,0
2,0,1323,2142,1610,2,0,2,0,0,0
2,1,1481,1591,1485,2,0,2,0,0,0
2,2,1151,1606,1293,2,0,2,0,0,0
2,3,991,1589,1190,2,0,2,0,0,0
2,4,1690,1792,1690,2,0,2,0,0,1
2,5,1862,1553,1698,2,0,2,0,0,0
2,6,1704,2184,1856,2,0,2,0,0,0
2,7,1376,1755,1487,2,0,2,0,0,0
2,8,1196,1805,1399,2,0,2,0,0,0
2,9,1465,2119,1686,2,0,2,0,0,0
3,0,1318,2237,1645,3,0,3,0,0,0
3,1,1476,1686,1520,3,0,3,0,0,0
3,2,1346,1551,1328,3,0,2,1,0,1
3,3,486,1684,1225,3,0,3,0,1,0
3,4,1185,1887,1725,3,0,3,0,1,1
3,5,1857,1648,1733,3,0,3,0,0,0
3,6,1699,2279,1891,3,0,3,0,0,0
3,7,1371,1850,1522,3,0,3,0,0,0
3,8,1191,1900,1434,3,0,3,0,0,0
3,9,1660,2214,1721,3,0,3,0,0,1
4,0,1313,2332,1680,4,0,4,0,0,0
4,1,1471,1631,1555,4,0,3,1,0,0
4,2,1341,1646,1423,4,0,3,1,0,1
4,3,481,1779,960,4,0,4,0,1,0
4,4,1180,1982,1460,4,0,4,0,1,1
4,5,1852,1743,1768,4,0,4,0,0,0
4,6,1694,2374,1926,4,0,4,0,0,0
4,7,1366,1945,1557,3,1,4,0,0,0
4,8,1186,1995,1469,4,0,4,0,0,0
4,9,1655,2309,1876,4,0,4,0,0,1
5,0,1508,2427,1715,5,0,5,0,0,1
5,1,1466,1726,1530,5,0,4,1,0,0
5,2,1336,1741,1458,5,0,4,1,0,1
5,3,0,1874,995,5,0,5,0,2,0
5,4,1175,2077,1495,5,0,5,0,1,1
5,5,1347,1838,1803,5,0,5,0,1,0
5,6,1689,2469,1961,5,0,5,0,0,0
5,7,1361,2040,1592,4,1,5,0,0,0
5,8,1181,2090,1504,5,0,5,0,0,0
5,9,1650,2404,1911,5,0,5,0,0,1
6,0,1703,2522,1870,6,0,6,0,0,2
6,1,1461,1821,1565,6,0,5,1,0,0
6,2,1331,1836,1493,6,0,5,1,0,1
6,3,0,1969,747,6,0,6,0,2,0
6,4,1170,2172,1530,6,0,6,0,1,1
6,5,1342,1933,1538,6,0,6,0,1,0
6,6,1684,2564,1996,6,0,6,0,0,0
6,7,1356,2135,1627,5,1,6,0,0,0
6,8,1176,2185,1539,6,0,6,0,0,0
6,9,1645,2499,1946,6,0,6,0,0,1
7,0,1898,2617,2025,6,1,7,0,0,3
7,1,1456,1916,1600,7,0,6,1,0,0
7,2,1326,1931,1528,7,0,6,1,0,1
7,3,0,2064,785,7,0,7,0,2,0
7,4,1365,2267,1565,7,0,7,0,1,2
7,5,1337,2028,1573,6,1,7,0,1,0
7,6,1679,2659,2031,7,0,7,0,0,0
7,7,1351,2230,1662,6,1,7,0,0,0
7,8,1171,2280,1574,7,0,7,0,0,0
7,9,1640,2594,1981,7,0,7,0,0,1
8,0,1893,2712,2180,7,1,8,0,0,3
8,1,1651,2011,1635,8,0,7,1,0,1
8,2,1321,2026,1563,8,0,7,1,0,1
8,3,0,2159,823,8,0,8,0,2,0
8,4,1360,2362,1720,8,0,8,0,1,2
8,5,1532,2123,1608,7,1,8,0,1,1
8,6,1674,2754,2066,8,0,8,0,0,0
8,7,1346,2325,1697,7,1,8,0,0,0
8,8,1166,2375,1609,8,0,8,0,0,0
8,9,1835,2689,2016,8,0,8,0,0,2
9,0,1888,2807,2215,8,1,9,0,0,3
9,1,1646,2106,1790,9,0,8,1,0,1
9,2,816,2121,1598,9,0,8,1,1,1
9,3,0,2254,861,9,0,9,0,2,0
9,4,1355,2457,1755,9,0,9,0,1,2
9,5,1527,2068,1763,8,1,8,1,1,1
9,6,1669,2849,2101,9,0,9,0,0,0
9,7,1541,2420,1732,8,1,9,0,0,1
9,8,1361,2320,1644,9,0,8,1,0,1
9,9,1830,2784,2171,9,0,9,0,0,2
10,0,1883,2902,2250,9,1,10,0,0,3
10,1,1641,2201,1825,10,0,9,1,0,1
10,2,811,2216,1333,10,0,9,1,1,1
10,3,0,2349,899,10,0,10,0,2,0
10,4,1350,2552,1790,10,0,10,0,1,2
10,5,1522,2163,1738,9,1,9,1,1,1
10,6,1664,2944,2136,10,0,10,0,0,0
10,7,1536,2515,1887,9,1,10,0,0,1
10,8,1356,2415,1739,10,0,9,1,0,1
10,9,1825,2879,2206,10,0,10,0,0,2
11,0,1878,2997,2285,10,1,11,0,0,3
11,1,1836,2296,1860,11,0,10,1,0,2
11,2,306,2311,1368,11,0,10,1,2,1
11,3,0,2444,937,11,0,11,0,2,0
11,4,1345,2647,1825,11,0,11,0,1,2
11,5,1517,2258,1773,9,2,10,1,1,1
11,6,1659,3039,2171,11,0,11,0,0,0
11,7,1531,2610,1922,10,1,11,0,0,1
11,8,1351,2510,1774,11,0,10,1,0,1
11,9,1820,2974,2241,11,0,11,0,0,2
12,0,2073,3092,2320,11,1,12,0,0,4
12,1,1831,2391,2015,12,0,11,1,0,2
12,2,501,2406,1103,12,0,11,1,2,2
12,3,0,2539,975,12,0,12,0,2,0
12,4,1340,2742,1860,12,0,12,0,1,2
12,5,1512,2203,1808,10,2,10,2,1,1
12,6,1654,3134,2206,12,0,12,0,0,0
12,7,1526,2705,1957,11,1,12,0,0,1
12,8,1346,2605,1809,12,0,11,1,0,1
12,9,1815,3069,2276,12,0,12,0,0,2
13,0,2068,3187,2475,11,2,13,0,0,4
13,1,1826,2486,2050,13,0,12,1,0,2
13,2,496,2351,1258,13,0,11,2,2,2
13,3,0,2634,1013,13,0,13,0,2,0
13,4,1335,2837,1895,13,0,13,0,1,2
13,5,1007,2298,1783,11,2,11,2,2,1
13,6,1849,3229,2241,13,0,13,0,0,1
13,7,1521,2800,1992,12,1,13,0,0,1
13,8,841,2700,1844,13,0,12,1,1,1
13,9,1810,3164,2311,13,0,13,0,0,2
14,0,2063,3282,2510,12,2,14,0,0,4
14,1,1821,2581,2085,14,0,13,1,0,2
14,2,491,2446,1233,14,0,12,2,2,2
14,3,0,2579,1051,14,0,13,1,2,0
14,4,1330,2932,1930,14,0,14,0,1,2
14,5,1002,2393,1518,12,2,12,2,2,1
14,6,1844,3324,2396,13,1,14,0,0,1
14,7,1516,2895,2027,13,1,14,0,0,1
14,8,836,2795,1579,14,0,13,1,1,1
14,9,1805,3259,2346,14,0,14,0,0,2
15,0,2058,3377,2545,13,2,15,0,0,4
15,1,1816,2676,2120,15,0,14,1,0,2
15,2,486,2541,1268,15,0,13,2,2,2
15,3,0,2674,1029,15,0,14,1,2,0
15,4,825,3027,1965,15,0,15,0,2,2
15,5,997,2488,1553,13,2,13,2,2,1
15,6,1839,3419,2431,14,1,15,0,0,1
15,7,1511,2990,2062,14,1,15,0,0,1
15,8,331,2890,1614,15,0,14,1,2,1
15,9,1800,3354,2381,15,0,15,0,0,2
16,0,2253,3472,2580,13,3,16,0,0,5
16,1,1811,2621,2155,16,0,14,2,0,2
16,2,0,2636,1303,16,0,14,2,3,2
16,3,0,2769,1067,16,0,15,1,2,0
16,4,820,3122,1700,16,0,16,0,2,2
16,5,992,2583,1588,14,2,14,2,2,1
16,6,1834,3364,2466,15,1,15,1,0,1
16,7,1506,3085,2097,15,1,16,0,0,1
16,8,326,2985,1349,16,0,15,1,2,1
16,9,1795,3299,2416,16,0,15,1,0,2
17,0,2248,3567,2735,14,3,17,0,0,5
17,1,1806,2716,2130,17,0,15,2,0,2
17,2,0,2731,1052,17,0,15,2,3,2
17,3,0,2864,1105,17,0,16,1,2,0
17,4,815,3217,1735,17,0,17,0,2,2
17,5,987,2678,1623,15,2,15,2,2,1
17,6,1329,3459,2441,16,1,16,1,1,1
17,7,1501,3180,2132,16,1,17,0,0,1
17,8,321,3080,1384,17,0,16,1,2,1
17,9,1790,3394,2391,17,0,16,1,0,2
18,0,2243,3662,2770,15,3,18,0,0,5
18,1,1801,2811,2165,18,0,16,2,0,2
18,2,0,2826,1090,18,0,16,2,3,2
18,3,0,2959,1143,18,0,17,1,2,0
18,4,810,3312,1770,18,0,18,0,2,2
18,5,982,2773,1658,16,2,16,2,2,1
18,6,1324,3554,2176,17,1,17,1,1,1
18,7,1496,3275,2167,17,1,18,0,0,1
18,8,316,3175,1419,18,0,17,1,2,1
18,9,1785,3339,2426,18,0,16,2,0,2
19,0,2238,3607,2805,16,3,18,1,0,5
19,1,1796,2906,2200,19,0,17,2,0,2
19,2,0,2921,1128,19,0,17,2,3,2
19,3,0,2904,1181,19,0,17,2,2,0
19,4,805,3407,1805,19,0,19,0,2,2
19,5,977,2868,1693,17,2,17,2,2,1
19,6,1519,3649,2211,18,1,18,1,1,2
19,7,1491,3370,2202,18,1,19,0,0,1
19,8,311,3120,1454,19,0,17,2,2,1
19,9,1780,3434,2401,19,0,17,2,0,2
20,0,2233,3552,2780,16,4,18,2,0,5
20,1,1791,3001,2235,20,0,18,2,0,2
20,2,0,3016,1166,20,0,18,2,3,2
20,3,0,2999,1159,20,0,18,2,2,0
20,4,1000,3502,1840,20,0,20,0,2,3
20,5,972,2813,1728,18,2,17,3,2,1
20,6,1514,3744,2366,19,1,19,1,1,2
20,7,1486,3465,2237,19,1,20,0,0,1
20,8,306,3215,1429,20,0,18,2,2,1
20,9,1775,3529,2436,20,0,18,2,0,2
